Material,Quantity,Weight,Type,Size Range,Price
Paddy Straw,28,35,Farming Land,12mm to 70mm,3237
Paddy Straw,28,38,Farming Land,12mm to 70mm,3447
Pressmud,47,20,Sugarcane Industry,12mm to 20mm,1699
Groundnut,31,8,Industry,8mm to 90mm,5037
Pressmud,52,24,Sugarcane Industry,12mm to 20mm,2299
Paddy Straw,10,35,Farming Land,12mm to 70mm,3036
Sawdust,20,25,Industry,8mm to 90mm,4300
Cowdung,63,45,Land,8mm to 20mm,3518
Paddy Straw,11,38,Farming Land,12mm to 70mm,3244
Sawdust,25,30,Industry,8mm to 90mm,3630
Sawdust,18,12,Industry,8mm to 90mm,3786
Pressmud,58,38,Sugarcane Industry,12mm to 20mm,2308
Sawdust,28,11,Industry,8mm to 90mm,3826
Paddy Straw,11,48,Farming Land,12mm to 70mm,3768
Pressmud,49,26,Sugarcane Industry,12mm to 20mm,2291
Sawdust,17,17,Industry,8mm to 90mm,4381
Sawdust,22,15,Industry,8mm to 90mm,4403
Pressmud,51,27,Sugarcane Industry,12mm to 20mm,1803
Groundnut,24,11,Industry,8mm to 90mm,5083
Paddy Straw,15,43,Farming Land,12mm to 70mm,2980
Cowdung,73,48,Land,8mm to 20mm,3079
Sawdust,22,21,Industry,8mm to 90mm,3517
Pressmud,41,25,Sugarcane Industry,12mm to 20mm,1552
Groundnut,29,6,Industry,8mm to 90mm,5287
Groundnut,30,13,Industry,8mm to 90mm,5479
Groundnut,27,12,Industry,8mm to 90mm,4973
Paddy Straw,23,47,Farming Land,12mm to 70mm,3081
Paddy Straw,13,41,Farming Land,12mm to 70mm,3020
Paddy Straw,29,37,Farming Land,12mm to 70mm,3702
Sawdust,29,19,Industry,8mm to 90mm,4087
Cowdung,74,42,Land,8mm to 20mm,3366
Pressmud,48,33,Sugarcane Industry,12mm to 20mm,2201
Sawdust,28,19,Industry,8mm to 90mm,4086
Pressmud,47,24,Sugarcane Industry,12mm to 20mm,2072
Groundnut,32,11,Industry,8mm to 90mm,5387
Cowdung,64,41,Land,8mm to 20mm,3800
Groundnut,33,20,Industry,8mm to 90mm,4908
Paddy Straw,27,40,Farming Land,12mm to 70mm,3679
Sawdust,11,16,Industry,8mm to 90mm,3622
Paddy Straw,18,50,Farming Land,12mm to 70mm,3002
Paddy Straw,24,48,Farming Land,12mm to 70mm,3087
Cowdung,66,34,Land,8mm to 20mm,3722
Paddy Straw,19,33,Farming Land,12mm to 70mm,3690
Groundnut,38,5,Industry,8mm to 90mm,4778
Sawdust,10,12,Industry,8mm to 90mm,3804
Paddy Straw,18,31,Farming Land,12mm to 70mm,3149
Cowdung,78,42,Land,8mm to 20mm,3935
Paddy Straw,11,49,Farming Land,12mm to 70mm,3685
Pressmud,58,36,Sugarcane Industry,12mm to 20mm,1718
Paddy Straw,23,48,Farming Land,12mm to 70mm,2915
Sawdust,24,18,Industry,8mm to 90mm,3999
Groundnut,21,14,Industry,8mm to 90mm,5159
Pressmud,45,28,Sugarcane Industry,12mm to 20mm,1532
Groundnut,33,14,Industry,8mm to 90mm,5481
Sawdust,30,18,Industry,8mm to 90mm,3856
Groundnut,34,15,Industry,8mm to 90mm,5311
Sawdust,30,25,Industry,8mm to 90mm,3569
Sawdust,18,10,Industry,8mm to 90mm,3620
Groundnut,36,9,Industry,8mm to 90mm,4819
Paddy Straw,28,43,Farming Land,12mm to 70mm,3321
Cowdung,77,38,Land,8mm to 20mm,3341
Groundnut,38,14,Industry,8mm to 90mm,4630
Pressmud,45,25,Sugarcane Industry,12mm to 20mm,2129
Cowdung,61,41,Land,8mm to 20mm,3622
Sawdust,21,29,Industry,8mm to 90mm,4133
Sawdust,15,13,Industry,8mm to 90mm,4115
Cowdung,80,45,Land,8mm to 20mm,3628
Sawdust,16,27,Industry,8mm to 90mm,4160
Cowdung,62,33,Land,8mm to 20mm,3671
Groundnut,26,8,Industry,8mm to 90mm,5117
Sawdust,15,21,Industry,8mm to 90mm,3962
Cowdung,78,49,Land,8mm to 20mm,3604
Paddy Straw,21,32,Farming Land,12mm to 70mm,3255
Cowdung,70,32,Land,8mm to 20mm,3597
Groundnut,21,0,Industry,8mm to 90mm,4827
Groundnut,34,2,Industry,8mm to 90mm,4718
Cowdung,65,43,Land,8mm to 20mm,3529
Paddy Straw,11,35,Farming Land,12mm to 70mm,3628
Sawdust,24,30,Industry,8mm to 90mm,3695
Sawdust,13,12,Industry,8mm to 90mm,3881
Paddy Straw,16,44,Farming Land,12mm to 70mm,2952
Sawdust,29,11,Industry,8mm to 90mm,4080
Sawdust,23,20,Industry,8mm to 90mm,4200
Groundnut,33,17,Industry,8mm to 90mm,5392
Groundnut,25,3,Industry,8mm to 90mm,4731
Paddy Straw,14,34,Farming Land,12mm to 70mm,2937
Pressmud,55,23,Sugarcane Industry,12mm to 20mm,2161
Groundnut,21,10,Industry,8mm to 90mm,5029
Paddy Straw,17,33,Farming Land,12mm to 70mm,3848
Sawdust,16,25,Industry,8mm to 90mm,4251
Groundnut,21,0,Industry,8mm to 90mm,4853
Cowdung,63,37,Land,8mm to 20mm,3177
Pressmud,60,35,Sugarcane Industry,12mm to 20mm,2060
Groundnut,32,13,Industry,8mm to 90mm,5445
Sawdust,21,17,Industry,8mm to 90mm,3692
Paddy Straw,10,32,Farming Land,12mm to 70mm,3318
Cowdung,76,47,Land,8mm to 20mm,3686
Pressmud,40,36,Sugarcane Industry,12mm to 20mm,1556
Cowdung,78,48,Land,8mm to 20mm,3568
Pressmud,60,29,Sugarcane Industry,12mm to 20mm,1557
Cowdung,78,40,Land,8mm to 20mm,3332
Paddy Straw,20,41,Farming Land,12mm to 70mm,3334
Sawdust,29,13,Industry,8mm to 90mm,4293
Paddy Straw,15,36,Farming Land,12mm to 70mm,3374
Cowdung,70,39,Land,8mm to 20mm,3375
Pressmud,53,24,Sugarcane Industry,12mm to 20mm,1743
Cowdung,76,49,Land,8mm to 20mm,3066
Pressmud,50,34,Sugarcane Industry,12mm to 20mm,2071
Cowdung,78,45,Land,8mm to 20mm,3215
Pressmud,50,39,Sugarcane Industry,12mm to 20mm,2056
Groundnut,33,17,Industry,8mm to 90mm,5310
Groundnut,26,9,Industry,8mm to 90mm,5309
Pressmud,44,28,Sugarcane Industry,12mm to 20mm,2002
Groundnut,23,15,Industry,8mm to 90mm,5112
Sawdust,14,21,Industry,8mm to 90mm,3518
Groundnut,35,0,Industry,8mm to 90mm,5283
Cowdung,68,40,Land,8mm to 20mm,3105
Paddy Straw,14,48,Farming Land,12mm to 70mm,3864
Sawdust,10,30,Industry,8mm to 90mm,4013
Cowdung,63,39,Land,8mm to 20mm,3282
Groundnut,33,7,Industry,8mm to 90mm,5393
Groundnut,24,14,Industry,8mm to 90mm,5489
Paddy Straw,13,43,Farming Land,12mm to 70mm,2927
Cowdung,61,49,Land,8mm to 20mm,3689
Pressmud,50,31,Sugarcane Industry,12mm to 20mm,2407
Groundnut,30,3,Industry,8mm to 90mm,5088
Groundnut,25,14,Industry,8mm to 90mm,4920
Groundnut,22,17,Industry,8mm to 90mm,5413
Sawdust,23,25,Industry,8mm to 90mm,3964
Paddy Straw,19,46,Farming Land,12mm to 70mm,3479
Paddy Straw,30,47,Farming Land,12mm to 70mm,3768
Pressmud,52,33,Sugarcane Industry,12mm to 20mm,1847
Pressmud,40,20,Sugarcane Industry,12mm to 20mm,2001
Sawdust,30,14,Industry,8mm to 90mm,3680
Paddy Straw,28,38,Farming Land,12mm to 70mm,3086
Sawdust,10,13,Industry,8mm to 90mm,4376
Paddy Straw,18,38,Farming Land,12mm to 70mm,3838
Groundnut,29,20,Industry,8mm to 90mm,5244
Paddy Straw,10,37,Farming Land,12mm to 70mm,3806
Groundnut,35,8,Industry,8mm to 90mm,4763
Sawdust,24,17,Industry,8mm to 90mm,3619
Sawdust,11,11,Industry,8mm to 90mm,3929
Pressmud,42,21,Sugarcane Industry,12mm to 20mm,2041
Sawdust,11,16,Industry,8mm to 90mm,4471
Cowdung,72,35,Land,8mm to 20mm,3731
Sawdust,15,18,Industry,8mm to 90mm,4241
Sawdust,23,28,Industry,8mm to 90mm,3597
Pressmud,41,38,Sugarcane Industry,12mm to 20mm,1536
Cowdung,80,35,Land,8mm to 20mm,3652
Pressmud,52,35,Sugarcane Industry,12mm to 20mm,2440
Pressmud,52,27,Sugarcane Industry,12mm to 20mm,1840
Groundnut,32,15,Industry,8mm to 90mm,5092
Cowdung,62,46,Land,8mm to 20mm,3453
Pressmud,55,23,Sugarcane Industry,12mm to 20mm,2464
Groundnut,39,14,Industry,8mm to 90mm,4816
Groundnut,33,6,Industry,8mm to 90mm,5193
Pressmud,59,24,Sugarcane Industry,12mm to 20mm,2193
Pressmud,40,33,Sugarcane Industry,12mm to 20mm,2264
Sawdust,24,18,Industry,8mm to 90mm,3970
Paddy Straw,30,33,Farming Land,12mm to 70mm,3257
Paddy Straw,27,34,Farming Land,12mm to 70mm,2942
Sawdust,27,19,Industry,8mm to 90mm,3591
Sawdust,15,14,Industry,8mm to 90mm,4459
Groundnut,25,18,Industry,8mm to 90mm,4859
Groundnut,26,8,Industry,8mm to 90mm,5438
Cowdung,66,45,Land,8mm to 20mm,3307
Groundnut,40,16,Industry,8mm to 90mm,5102
Sawdust,30,22,Industry,8mm to 90mm,4338
Pressmud,55,36,Sugarcane Industry,12mm to 20mm,2375
Pressmud,48,26,Sugarcane Industry,12mm to 20mm,2128
Paddy Straw,13,41,Farming Land,12mm to 70mm,3794
Paddy Straw,29,41,Farming Land,12mm to 70mm,3044
Cowdung,64,41,Land,8mm to 20mm,3457
Sawdust,24,24,Industry,8mm to 90mm,3748
Groundnut,27,18,Industry,8mm to 90mm,5214
Groundnut,32,10,Industry,8mm to 90mm,4569
Paddy Straw,26,33,Farming Land,12mm to 70mm,3128
Cowdung,68,47,Land,8mm to 20mm,3798
Groundnut,23,5,Industry,8mm to 90mm,4933
Groundnut,36,14,Industry,8mm to 90mm,5350
Pressmud,57,34,Sugarcane Industry,12mm to 20mm,2395
Pressmud,40,40,Sugarcane Industry,12mm to 20mm,2471
Cowdung,62,39,Land,8mm to 20mm,3947
Sawdust,21,15,Industry,8mm to 90mm,4307
Cowdung,68,41,Land,8mm to 20mm,3716
Cowdung,63,42,Land,8mm to 20mm,3996
Sawdust,25,27,Industry,8mm to 90mm,3678
Sawdust,14,10,Industry,8mm to 90mm,3720
Sawdust,29,28,Industry,8mm to 90mm,4496
Sawdust,24,30,Industry,8mm to 90mm,3954
Groundnut,29,15,Industry,8mm to 90mm,4680
Sawdust,12,11,Industry,8mm to 90mm,4446
Paddy Straw,17,48,Farming Land,12mm to 70mm,3778
Pressmud,44,27,Sugarcane Industry,12mm to 20mm,1811
Cowdung,77,48,Land,8mm to 20mm,3943
Pressmud,51,30,Sugarcane Industry,12mm to 20mm,1553
Pressmud,45,40,Sugarcane Industry,12mm to 20mm,2270
Cowdung,77,44,Land,8mm to 20mm,3617
Groundnut,39,1,Industry,8mm to 90mm,5342
Pressmud,55,26,Sugarcane Industry,12mm to 20mm,1806
Pressmud,53,23,Sugarcane Industry,12mm to 20mm,2379
Paddy Straw,14,42,Farming Land,12mm to 70mm,3584
Pressmud,47,37,Sugarcane Industry,12mm to 20mm,2490
Sawdust,22,17,Industry,8mm to 90mm,3819
Pressmud,53,23,Sugarcane Industry,12mm to 20mm,2041
Paddy Straw,29,32,Farming Land,12mm to 70mm,3497
Paddy Straw,17,44,Farming Land,12mm to 70mm,3304
Cowdung,67,49,Land,8mm to 20mm,3087
Cowdung,68,47,Land,8mm to 20mm,3851
Paddy Straw,24,38,Farming Land,12mm to 70mm,3877
Cowdung,74,33,Land,8mm to 20mm,3890
Paddy Straw,18,50,Farming Land,12mm to 70mm,3805
Sawdust,24,12,Industry,8mm to 90mm,4226
Paddy Straw,27,32,Farming Land,12mm to 70mm,3254
Pressmud,56,27,Sugarcane Industry,12mm to 20mm,2104
Sawdust,26,30,Industry,8mm to 90mm,3785
Pressmud,46,21,Sugarcane Industry,12mm to 20mm,1684
Groundnut,20,2,Industry,8mm to 90mm,5465
Cowdung,75,38,Land,8mm to 20mm,3385
Cowdung,77,30,Land,8mm to 20mm,3319
Pressmud,42,22,Sugarcane Industry,12mm to 20mm,2174
Paddy Straw,21,42,Farming Land,12mm to 70mm,3281
Groundnut,34,4,Industry,8mm to 90mm,4593
Sawdust,19,16,Industry,8mm to 90mm,3863
Pressmud,44,39,Sugarcane Industry,12mm to 20mm,2121
Cowdung,60,38,Land,8mm to 20mm,3149
Sawdust,25,16,Industry,8mm to 90mm,3990
Cowdung,64,50,Land,8mm to 20mm,3381
Sawdust,14,16,Industry,8mm to 90mm,4016
Pressmud,48,22,Sugarcane Industry,12mm to 20mm,2086
Groundnut,26,9,Industry,8mm to 90mm,5095
Paddy Straw,11,38,Farming Land,12mm to 70mm,2973
Cowdung,73,44,Land,8mm to 20mm,3881
Groundnut,37,15,Industry,8mm to 90mm,5069
Pressmud,57,37,Sugarcane Industry,12mm to 20mm,1632
Cowdung,73,42,Land,8mm to 20mm,3641
Groundnut,24,6,Industry,8mm to 90mm,5125
Sawdust,22,10,Industry,8mm to 90mm,4402
Groundnut,24,3,Industry,8mm to 90mm,4672
Cowdung,77,47,Land,8mm to 20mm,3556
Groundnut,22,12,Industry,8mm to 90mm,5294
Pressmud,41,33,Sugarcane Industry,12mm to 20mm,2243
Sawdust,26,29,Industry,8mm to 90mm,4330
Groundnut,40,20,Industry,8mm to 90mm,4519
Paddy Straw,18,43,Farming Land,12mm to 70mm,3760
Groundnut,34,8,Industry,8mm to 90mm,5434
Groundnut,23,3,Industry,8mm to 90mm,5491
Cowdung,78,30,Land,8mm to 20mm,3817
Paddy Straw,29,45,Farming Land,12mm to 70mm,3519
Paddy Straw,25,37,Farming Land,12mm to 70mm,3138
Pressmud,49,23,Sugarcane Industry,12mm to 20mm,1883
Groundnut,30,12,Industry,8mm to 90mm,5276
Sawdust,20,13,Industry,8mm to 90mm,4121
Pressmud,60,21,Sugarcane Industry,12mm to 20mm,2046
Paddy Straw,29,46,Farming Land,12mm to 70mm,3538
Pressmud,59,22,Sugarcane Industry,12mm to 20mm,2448
Cowdung,64,39,Land,8mm to 20mm,3155
Sawdust,29,27,Industry,8mm to 90mm,3830
Pressmud,55,23,Sugarcane Industry,12mm to 20mm,1928
Paddy Straw,10,41,Farming Land,12mm to 70mm,3532
Groundnut,37,19,Industry,8mm to 90mm,4835
Pressmud,58,39,Sugarcane Industry,12mm to 20mm,2179
Sawdust,20,29,Industry,8mm to 90mm,4445
Pressmud,44,27,Sugarcane Industry,12mm to 20mm,2050
Pressmud,49,23,Sugarcane Industry,12mm to 20mm,1955
Cowdung,67,44,Land,8mm to 20mm,3975
Pressmud,60,27,Sugarcane Industry,12mm to 20mm,1888
Sawdust,27,22,Industry,8mm to 90mm,3556
Pressmud,49,32,Sugarcane Industry,12mm to 20mm,1679
Sawdust,25,24,Industry,8mm to 90mm,3885
Cowdung,70,50,Land,8mm to 20mm,3734
Groundnut,21,17,Industry,8mm to 90mm,4928
Cowdung,66,45,Land,8mm to 20mm,3244
Paddy Straw,14,30,Farming Land,12mm to 70mm,3554
Groundnut,26,18,Industry,8mm to 90mm,4556
Paddy Straw,11,48,Farming Land,12mm to 70mm,3256
Cowdung,63,44,Land,8mm to 20mm,3514
Pressmud,45,21,Sugarcane Industry,12mm to 20mm,1901
Sawdust,17,14,Industry,8mm to 90mm,3615
Sawdust,26,17,Industry,8mm to 90mm,4376
Cowdung,62,32,Land,8mm to 20mm,3075
Cowdung,79,36,Land,8mm to 20mm,3808
Pressmud,52,24,Sugarcane Industry,12mm to 20mm,1593
